n,time
0,5.709e-06
1,8.142e-06
2,1.3735e-05
3,2.1943e-05
4,2.528e-05
5,4.8294e-05
6,4.7756e-05
7,4.4178e-05
8,5.4884e-05
9,7.8427e-05
10,0.000108549
11,0.000118814
12,0.000135272
13,0.000137181
14,0.000145759
15,0.000161611
16,0.000155761
17,0.000157038
18,0.000244466
19,0.000202161
20,0.000205108
21,0.000147086
22,0.000211704
23,0.000237782
24,0.000252743
25,0.000257083
26,0.000264403
27,0.000274723
28,0.000287423
29,0.000295566
30,0.000302974
31,0.00031172
32,0.000306415
33,0.000335898
34,0.000326897
35,0.000368315
36,0.000403506
37,0.000410703
38,0.00041565
39,0.000393133
40,0.000427219
41,0.000409969
42,0.000396735
43,0.000442038
44,0.000457464
45,0.000442066
46,0.00048027
47,0.000458849
48,0.000488342
49,0.000485044
50,0.00049547
51,0.000488801
52,0.000528433
53,0.000482239
54,0.00053197
55,0.000543231
56,0.000549278
57,0.000541183
58,0.000581733
59,0.000593109
60,0.000547832
61,0.000397056
62,0.000643802
63,0.000641501
64,0.000645682
65,0.000640108
66,0.000620319
67,0.000683553
68,0.000699038
69,0.000732828
70,0.000707265
71,0.000692018
72,0.000741998
73,0.000741436
74,0.000747954
75,0.000787831
76,0.00075885
77,0.000827044
78,0.000595653
79,0.000829247
80,0.000850206
81,0.000666167
82,0.000667166
83,0.000698622
84,0.000779147
85,0.000718198
86,0.000699197
87,0.000702468
88,0.000731692
89,0.000831595
90,0.000771169
91,0.000734284
92,0.000757599
93,0.000775143
94,0.000762348
95,0.000766058
96,0.000779377
97,0.000795757
98,0.000859145
99,0.000803214
