n,time
0,4.435e-05
1,1.3384e-05
2,3.2353e-05
3,4.5459e-05
4,0.000100461
5,0.000149669
6,0.000204715
7,0.000290869
8,0.000246279
9,0.000307653
10,0.000554327
11,3.6038e-05
12,0.000582772
13,0.00065736
14,4.663e-05
15,0.00100841
16,0.00148125
17,0.00127989
18,0.00154021
19,0.00204658
20,0.00246893
21,0.0018827
22,0.00240845
23,0.000395638
24,0.000319984
25,0.000155892
26,0.0205511
27,0.00255372
28,0.0234682
29,0.0249203
30,0.0274375
31,0.00331951
32,0.00354468
33,0.00377377
34,0.0338417
35,7.8197e-05
36,0.00446707
37,4.7331e-05
38,0.00498837
39,0.000130635
40,2.1802e-05
41,0.00576946
42,6.2838e-05
43,0.00636792
44,2.3819e-05
45,2.5263e-05
46,0.0073239
47,5.7366e-05
48,0.00797751
49,1.9775e-05
50,2.3273e-05
51,0.0089346
52,4.0041e-05
53,0.00962601
54,0.0100098
55,3.3433e-05
56,0.0107482
57,2.6334e-05
58,3.6926e-05
59,3.284e-05
60,5.4172e-05
61,3.1204e-05
62,6.4817e-05
63,0.000107636
64,2.8827e-05
65,0.0144829
66,0.0155654
67,3.5279e-05
68,8.4397e-05
69,3.0684e-05
70,0.000108714
71,4.8319e-05
72,2.8733e-05
73,4.2658e-05
74,0.000101693
75,0.0192549
76,0.0197289
77,6.8122e-05
78,5.6498e-05
79,1.8766e-05
80,0.0219703
81,0.0224004
82,0.000107294
83,3.6431e-05
84,8.351e-05
85,6.6673e-05
86,4.9589e-05
87,9.3025e-05
88,7.9527e-05
89,7.1325e-05
90,0.027651
91,5.0975e-05
92,2.0264e-05
93,2.2512e-05
94,0.000106078
95,0.000224896
96,2.4979e-05
97,8.3214e-05
98,3.7283e-05
99,9.3612e-05
