n,time
0,1.4605e-05
1,1.3252e-05
2,4.5204e-05
3,7.4177e-05
4,0.000135658
5,0.00017318
6,0.000287551
7,0.000479538
8,0.000609982
9,0.000794438
10,0.00086443
11,8.6664e-05
12,0.00145399
13,0.00126427
14,2.6133e-05
15,0.00218784
16,0.0212001
17,0.0239042
18,0.0282805
19,0.0268672
20,0.034114
21,0.00454387
22,0.0433264
23,0.000376118
24,0.000311108
25,0.000148026
26,0.0559331
27,0.00891493
28,0.00835456
29,0.00723199
30,0.00744871
31,0.0903011
32,0.104623
33,0.0101498
34,0.0122616
35,7.8918e-05
36,0.10905
37,0.000423756
38,0.0555924
39,2.4014e-05
40,0.000122763
41,0.0192495
42,6.6541e-05
43,0.0241135
44,2.3912e-05
45,2.4626e-05
46,0.0263171
47,5.8322e-05
48,0.0282328
49,2.1749e-05
50,2.5581e-05
51,0.0276597
52,4.1201e-05
53,0.0417177
54,0.0282799
55,3.29e-05
56,0.0443788
57,2.4497e-05
58,3.4053e-05
59,3.1705e-05
60,7.1472e-05
61,3.2479e-05
62,6.1623e-05
63,0.000115946
64,2.6234e-05
65,0.0582745
66,0.0561261
67,3.6235e-05
68,8.6699e-05
69,2.9845e-05
70,0.000111549
71,4.5585e-05
72,3.0289e-05
73,3.9257e-05
74,0.00010267
75,0.0939207
76,0.0916457
77,6.6877e-05
78,5.4048e-05
79,1.7755e-05
80,0.110043
81,0.104147
82,0.00010901
83,3.5888e-05
84,8.1818e-05
85,6.2958e-05
86,4.5373e-05
87,9.1158e-05
88,7.531e-05
89,6.875e-05
90,0.132743
91,4.979e-05
92,1.7965e-05
93,2.3254e-05
94,0.00010265
95,0.000273522
96,2.1904e-05
97,8.0135e-05
98,3.6153e-05
99,9.1075e-05
