n,time
0,4.985e-05
1,0.000745178
2,0.00276719
3,0.0063361
4,0.0114606
5,0.0183523
6,0.0269264
7,0.039666
8,0.0501257
9,0.0636822
10,0.0798024
11,0.0971533
12,0.116036
13,0.138726
14,0.161361
15,0.18508
16,0.213635
17,0.242492
18,0.272418
19,0.306484
20,0.341047
21,0.379071
22,0.419806
23,0.46156
24,0.503828
25,0.548076
26,0.592806
27,0.648354
28,0.704242
29,0.745727
30,0.803424
31,0.855564
32,0.918283
33,0.987075
34,1.05664
35,1.11233
36,1.18449
37,1.24646
38,1.32195
39,1.3935
40,1.46855
41,1.54457
42,1.6178
43,1.6904
44,1.79112
45,1.88894
46,1.99479
47,2.07186
48,2.18907
49,2.27173
50,2.32306
51,2.44416
52,2.56053
53,2.64873
54,2.73351
55,2.91685
56,3.00102
57,3.18465
58,3.20203
59,3.32793
60,3.43201
61,3.59287
62,3.71916
63,3.80205
64,3.93412
65,4.04517
66,4.2285
67,4.3447
68,4.49287
69,4.63732
70,4.79061
71,4.87688
72,5.05248
73,5.23663
74,5.39623
75,5.4635
76,5.57094
77,5.7476
78,5.90556
79,6.06443
80,6.22631
81,6.3915
82,6.54091
83,6.75432
84,6.99953
85,7.14379
86,7.2456
87,7.46432
88,7.63021
89,7.7901
90,7.98006
91,8.15288
92,8.38186
93,8.52345
94,8.76368
95,8.9205
96,9.11847
97,9.31379
98,9.55416
99,9.72043
